trade_number,exit_time,trade_return_pct,cumulative_return_pct,equity_multiple
1,2025-09-29T01:15:00+00:00,1.0,1.0,1.01
2,2025-09-29T03:15:00+00:00,1.0,2.01,1.0201
3,2025-09-29T09:00:00+00:00,-0.8,1.1939,1.011939
4,2025-09-29T15:15:00+00:00,-0.2,0.9915,1.009915
5,2025-10-02T00:45:00+00:00,-0.8,0.1836,1.001836
6,2025-10-02T04:30:00+00:00,-0.8,-0.6179,0.993821
7,2025-10-05T04:00:00+00:00,1.0,0.376,1.00376
8,2025-10-05T06:30:00+00:00,-0.8,-0.4271,0.995729
9,2025-10-06T01:15:00+00:00,1.0,0.5687,1.005687
10,2025-10-06T02:30:00+00:00,-0.8,-0.2359,0.997641
11,2025-10-06T06:15:00+00:00,1.0,0.7618,1.007618
12,2025-10-06T07:30:00+00:00,-0.8,-0.0443,0.999557
13,2025-10-07T05:15:00+00:00,1.0,0.9552,1.009552
14,2025-10-07T06:30:00+00:00,-0.8322,0.1151,1.001151
15,2025-10-07T07:45:00+00:00,-0.2,-0.0852,0.999148
16,2025-10-10T21:15:00+00:00,6.8891,6.7981,1.067981
17,2025-10-10T22:15:00+00:00,2.0,8.934,1.08934
18,2025-10-11T08:15:00+00:00,-0.8,8.0626,1.080626
19,2025-10-12T16:45:00+00:00,1.0,9.1432,1.091432
20,2025-10-12T21:15:00+00:00,-0.8,8.2701,1.082701
21,2025-10-13T00:30:00+00:00,-0.8,7.4039,1.074039
22,2025-10-15T06:00:00+00:00,-0.2,7.1891,1.071891
23,2025-10-15T08:00:00+00:00,-0.8,6.3316,1.063316
24,2025-10-19T03:15:00+00:00,-0.8,5.4809,1.054809
25,2025-10-19T09:30:00+00:00,-0.8,4.6371,1.046371
26,2025-10-22T01:45:00+00:00,-0.2,4.4278,1.044278
27,2025-10-22T11:00:00+00:00,-0.8,3.5924,1.035924
28,2025-10-26T09:15:00+00:00,1.0,4.6283,1.046283
29,2025-10-26T14:45:00+00:00,-0.8,3.7913,1.037913
30,2025-10-27T01:30:00+00:00,1.0,4.8292,1.048292
31,2025-10-27T12:30:00+00:00,-0.2,4.6195,1.046195
32,2025-10-28T14:30:00+00:00,-0.8,3.7826,1.037826
33,2025-10-30T17:45:00+00:00,-0.8,2.9523,1.029523
34,2025-10-30T20:00:00+00:00,-0.2,2.7464,1.027464
35,2025-11-02T23:00:00+00:00,-0.2,2.5409,1.025409
36,2025-11-03T03:30:00+00:00,2.0,4.5917,1.045917
37,2025-11-03T06:45:00+00:00,2.0,6.6836,1.066836
38,2025-11-03T16:30:00+00:00,-0.8,5.8301,1.058301
39,2025-11-04T00:30:00+00:00,-0.8,4.9835,1.049835
40,2025-11-06T01:45:00+00:00,-0.8,4.1436,1.041436
41,2025-11-06T15:15:00+00:00,-0.2,3.9353,1.039353
42,2025-11-08T19:30:00+00:00,-1.0657,2.8277,1.028277
43,2025-11-10T05:30:00+00:00,-0.8,2.005,1.02005
44,2025-11-12T08:30:00+00:00,-0.8,1.189,1.01189
45,2025-11-13T17:45:00+00:00,2.0,3.2128,1.032128
46,2025-11-13T22:00:00+00:00,-0.2,3.0064,1.030064
47,2025-11-14T05:00:00+00:00,-0.8,2.1823,1.021823
48,2025-11-16T18:15:00+00:00,-1.599,0.5484,1.005484
49,2025-11-17T16:45:00+00:00,-0.8,-0.256,0.99744
50,2025-11-19T18:15:00+00:00,-0.2,-0.4555,0.995445
51,2025-11-20T14:30:00+00:00,-1.1662,-1.6164,0.983836
52,2025-11-26T17:30:00+00:00,1.0,-0.6325,0.993675
53,2025-11-27T02:15:00+00:00,1.0,0.3612,1.003612
54,2025-11-27T22:45:00+00:00,-0.8,-0.4417,0.995583
55,2025-11-28T14:45:00+00:00,-1.0421,-1.4792,0.985208
56,2025-12-01T04:45:00+00:00,2.0,0.4912,1.004912
57,2025-12-01T07:30:00+00:00,-0.8,-0.3127,0.996873
58,2025-12-01T15:30:00+00:00,2.0,1.681,1.01681
59,2025-12-02T20:30:00+00:00,-0.8443,0.8225,1.008225
60,2025-12-03T04:15:00+00:00,1.0,1.8307,1.018307
61,2025-12-03T14:00:00+00:00,-0.8,1.0161,1.010161
62,2025-12-04T00:30:00+00:00,-0.2,0.8141,1.008141
63,2025-12-06T12:30:00+00:00,-0.8,0.0075,1.000075
64,2025-12-07T15:45:00+00:00,-0.8,-0.7925,0.992075
65,2025-12-10T16:15:00+00:00,-0.8,-1.5862,0.984138
66,2025-12-11T02:30:00+00:00,2.0,0.3821,1.003821
67,2025-12-11T11:30:00+00:00,-0.8,-0.421,0.99579
68,2025-12-11T15:15:00+00:00,-0.8,-1.2176,0.987824
69,2025-12-13T18:45:00+00:00,-0.8,-2.0078,0.979922
70,2025-12-14T05:00:00+00:00,-0.8,-2.7918,0.972082
71,2025-12-17T06:15:00+00:00,-0.2,-2.9862,0.970138
72,2025-12-17T13:45:00+00:00,-0.8,-3.7623,0.962377
73,2025-12-22T10:00:00+00:00,-0.2,-3.9548,0.960452
74,2025-12-23T16:45:00+00:00,-0.2,-4.1469,0.958531
75,2025-12-28T21:15:00+00:00,-0.2,-4.3386,0.956614
76,2025-12-29T07:00:00+00:00,-0.2,-4.5299,0.954701
77,2026-01-02T16:30:00+00:00,1.0,-3.5752,0.964248
78,2026-01-04T16:45:00+00:00,1.0,-2.611,0.97389
79,2026-01-04T19:00:00+00:00,-0.8,-3.3901,0.966099
80,2026-01-05T04:00:00+00:00,-0.2,-3.5833,0.964167
81,2026-01-07T09:30:00+00:00,-0.8,-4.3546,0.956454
82,2026-01-08T08:15:00+00:00,-0.8,-5.1198,0.948802
83,2026-01-11T15:30:00+00:00,-0.8,-5.8788,0.941212
84,2026-01-12T14:45:00+00:00,-0.8,-6.6318,0.933682
85,2026-01-15T00:30:00+00:00,-0.8,-7.3787,0.926213
86,2026-01-15T14:30:00+00:00,-0.8,-8.1197,0.918803
87,2026-01-17T22:45:00+00:00,-0.8,-8.8548,0.911452
88,2026-01-18T08:00:00+00:00,-0.8,-9.5839,0.904161
89,2026-01-20T17:45:00+00:00,2.0,-7.7756,0.922244
90,2026-01-21T00:00:00+00:00,2.0,-5.9311,0.940689
91,2026-01-21T05:45:00+00:00,-0.8,-6.6837,0.933163
92,2026-01-21T13:00:00+00:00,-0.2,-6.8703,0.931297
93,2026-01-23T15:45:00+00:00,-0.8,-7.6153,0.923847
94,2026-01-25T21:00:00+00:00,-0.8,-8.3544,0.916456
95,2026-01-28T15:00:00+00:00,-0.2,-8.5377,0.914623
96,2026-01-29T10:00:00+00:00,-0.8,-9.2694,0.907306
97,2026-01-31T16:45:00+00:00,2.0,-7.4548,0.925452
98,2026-02-01T07:45:00+00:00,-1.0054,-8.3852,0.916148
99,2026-02-01T14:15:00+00:00,2.0,-6.5529,0.934471
100,2026-02-01T16:15:00+00:00,-0.8,-7.3005,0.926995
101,2026-02-03T15:30:00+00:00,-1.167,-8.3823,0.916177
102,2026-02-05T16:15:00+00:00,-0.8,-9.1153,0.908847
103,2026-02-05T18:45:00+00:00,-0.2,-9.297,0.90703
104,2026-02-08T08:15:00+00:00,-0.8,-10.0227,0.899773
105,2026-02-08T11:15:00+00:00,-0.8,-10.7425,0.892575
106,2026-02-11T04:15:00+00:00,2.0,-8.9573,0.910427
107,2026-02-11T06:30:00+00:00,-0.9528,-9.8248,0.901752
108,2026-02-12T19:15:00+00:00,-0.2,-10.0051,0.899949
109,2026-02-16T16:00:00+00:00,-0.8,-10.7251,0.892749
110,2026-02-17T16:00:00+00:00,-0.8,-11.4393,0.885607
111,2026-02-21T15:45:00+00:00,-0.8,-12.1478,0.878522
112,2026-02-22T22:15:00+00:00,-0.8,-12.8506,0.871494
113,2026-02-25T01:00:00+00:00,-0.8,-13.5478,0.864522
114,2026-02-25T15:30:00+00:00,1.0,-12.6833,0.873167
115,2026-02-25T18:15:00+00:00,1.0,-11.8101,0.881899
116,2026-02-25T21:30:00+00:00,-0.2,-11.9865,0.880135
117,2026-02-27T07:00:00+00:00,-0.2,-12.1625,0.878375
118,2026-03-01T16:45:00+00:00,-0.8,-12.8652,0.871348
119,2026-03-02T15:00:00+00:00,1.0,-11.9939,0.880061
120,2026-03-03T01:30:00+00:00,-0.8,-12.6979,0.873021
121,2026-03-04T08:45:00+00:00,1.0,-11.8249,0.881751
122,2026-03-04T11:30:00+00:00,-0.8,-12.5303,0.874697
123,2026-03-04T16:00:00+00:00,-0.2,-12.7052,0.872948
124,2026-03-08T13:15:00+00:00,2.0,-10.9593,0.890407
125,2026-03-08T19:15:00+00:00,-0.8,-11.6717,0.883283
126,2026-03-08T23:00:00+00:00,-0.8,-12.3783,0.876217
127,2026-03-11T14:00:00+00:00,-0.8,-13.0793,0.869207
128,2026-03-11T23:45:00+00:00,-0.8,-13.7746,0.862254
129,2026-03-15T22:30:00+00:00,1.0,-12.9124,0.870876
130,2026-03-16T03:30:00+00:00,1.0,-12.0415,0.879585
131,2026-03-16T06:00:00+00:00,-0.2,-12.2174,0.877826
132,2026-03-16T14:15:00+00:00,-0.8,-12.9197,0.870803
133,2026-03-18T15:00:00+00:00,-0.2,-13.0938,0.869062
134,2026-03-18T20:30:00+00:00,-0.2,-13.2676,0.867324
135,2026-03-23T05:00:00+00:00,-0.2,-13.4411,0.865589
136,2026-03-23T10:00:00+00:00,-0.8,-14.1336,0.858664
