trade_number,exit_time,trade_return_pct,cumulative_return_pct,equity_multiple
1,2025-09-25T17:45:00+00:00,2.0,2.0,1.02
2,2025-09-26T18:15:00+00:00,-0.8,1.184,1.01184
3,2025-10-01T08:30:00+00:00,1.0,2.1958,1.021958
4,2025-10-01T16:30:00+00:00,1.0,3.2178,1.032178
5,2025-10-02T00:00:00+00:00,1.0,4.25,1.0425
6,2025-10-02T15:00:00+00:00,-0.2,4.0415,1.040415
7,2025-10-03T01:45:00+00:00,-0.2,3.8334,1.038334
8,2025-10-06T14:00:00+00:00,1.0,4.8717,1.048717
9,2025-10-06T21:15:00+00:00,-0.8,4.0328,1.040328
10,2025-10-09T20:45:00+00:00,-0.8,3.2005,1.032005
11,2025-10-12T02:30:00+00:00,-0.2,2.9941,1.029941
12,2025-10-14T14:00:00+00:00,-0.8,2.1701,1.021701
13,2025-10-16T14:45:00+00:00,-1.114,1.032,1.01032
14,2025-10-16T16:45:00+00:00,-0.2,0.8299,1.008299
15,2025-10-20T16:45:00+00:00,-0.8,0.0233,1.000233
16,2025-10-21T18:00:00+00:00,-0.8,-0.7769,0.992231
17,2025-10-23T19:00:00+00:00,-0.8,-1.5707,0.984293
18,2025-10-24T12:30:00+00:00,-0.2,-1.7676,0.982324
19,2025-10-27T06:30:00+00:00,1.0,-0.7852,0.992148
20,2025-10-27T08:15:00+00:00,-0.8,-1.579,0.98421
21,2025-10-29T18:30:00+00:00,2.0,0.3895,1.003895
22,2025-10-30T01:45:00+00:00,-0.8,-0.4137,0.995863
23,2025-10-30T05:45:00+00:00,-0.2,-0.6128,0.993872
24,2025-11-03T15:15:00+00:00,2.0,1.3749,1.013749
25,2025-11-03T16:45:00+00:00,-0.8,0.5639,1.005639
26,2025-11-04T14:30:00+00:00,2.0,2.5752,1.025752
27,2025-11-04T17:15:00+00:00,2.0,4.6267,1.046267
28,2025-11-04T21:30:00+00:00,2.0,6.7192,1.067192
29,2025-11-06T13:15:00+00:00,-0.8,5.8655,1.058655
30,2025-11-06T18:45:00+00:00,-0.2,5.6537,1.056537
31,2025-11-09T04:15:00+00:00,-0.8,4.8085,1.048085
32,2025-11-09T23:30:00+00:00,-0.2,4.5989,1.045989
33,2025-11-13T15:00:00+00:00,-1.2338,3.3084,1.033084
34,2025-11-13T18:15:00+00:00,2.0,5.3745,1.053745
35,2025-11-13T22:00:00+00:00,-0.8,4.5315,1.045315
36,2025-11-14T12:00:00+00:00,2.0,6.6222,1.066222
37,2025-11-14T13:45:00+00:00,-0.2,6.4089,1.064089
38,2025-11-14T21:00:00+00:00,-0.8,5.5576,1.055576
39,2025-11-16T22:15:00+00:00,-0.2,5.3465,1.053465
40,2025-11-17T14:45:00+00:00,-1.2518,4.0278,1.040278
41,2025-11-19T19:30:00+00:00,2.0,6.1084,1.061084
42,2025-11-19T20:30:00+00:00,-0.9607,5.089,1.05089
43,2025-11-20T16:00:00+00:00,2.0,7.1908,1.071908
44,2025-11-20T18:00:00+00:00,-0.8,6.3332,1.063332
45,2025-11-20T21:15:00+00:00,-0.8,5.4826,1.054826
46,2025-11-27T02:30:00+00:00,1.0,6.5374,1.065374
47,2025-11-27T12:45:00+00:00,-0.8,5.6851,1.056851
48,2025-11-27T21:00:00+00:00,-0.8,4.8396,1.048396
49,2025-11-30T03:15:00+00:00,-0.8,4.0009,1.040009
50,2025-11-30T23:00:00+00:00,-0.8,3.1689,1.031689
51,2025-12-03T04:45:00+00:00,1.0,4.2006,1.042006
52,2025-12-03T08:30:00+00:00,-0.8,3.367,1.03367
53,2025-12-04T00:00:00+00:00,-0.8,2.54,1.0254
54,2025-12-07T15:45:00+00:00,-0.2,2.3349,1.023349
55,2025-12-08T14:15:00+00:00,-0.2,2.1303,1.021303
56,2025-12-10T19:30:00+00:00,-0.8,1.3132,1.013132
57,2025-12-10T20:45:00+00:00,-0.8,0.5027,1.005027
58,2025-12-15T02:00:00+00:00,-0.2,0.3017,1.003017
59,2025-12-15T18:30:00+00:00,-0.2,0.1011,1.001011
60,2025-12-22T02:00:00+00:00,-0.8,-0.6997,0.993003
61,2025-12-22T12:15:00+00:00,1.0,0.2933,1.002933
62,2025-12-23T12:45:00+00:00,-0.8,-0.509,0.99491
63,2025-12-23T15:15:00+00:00,-0.2,-0.708,0.99292
64,2025-12-25T20:15:00+00:00,-0.8,-1.5023,0.984977
65,2025-12-26T07:30:00+00:00,-0.2,-1.6993,0.983007
66,2025-12-29T02:15:00+00:00,1.0,-0.7163,0.992837
67,2025-12-29T04:30:00+00:00,1.0,0.2765,1.002765
68,2025-12-30T08:00:00+00:00,-0.8,-0.5257,0.994743
69,2026-01-02T14:15:00+00:00,-0.2,-0.7247,0.992753
70,2026-01-05T01:00:00+00:00,1.0,0.2681,1.002681
71,2026-01-05T15:30:00+00:00,1.0,1.2708,1.012708
72,2026-01-06T15:30:00+00:00,-0.8,0.4606,1.004606
73,2026-01-07T00:30:00+00:00,-0.8,-0.3431,0.996569
74,2026-01-09T15:15:00+00:00,-0.8,-1.1403,0.988597
75,2026-01-12T02:45:00+00:00,1.0,-0.1517,0.998483
76,2026-01-12T07:30:00+00:00,-0.8,-0.9505,0.990495
77,2026-01-13T14:30:00+00:00,1.0,0.04,1.0004
78,2026-01-13T16:45:00+00:00,1.0,1.0404,1.010404
79,2026-01-13T22:15:00+00:00,1.4122,2.4673,1.024673
80,2026-01-14T14:45:00+00:00,1.0,3.4919,1.034919
81,2026-01-14T16:45:00+00:00,1.0,4.5269,1.045269
82,2026-01-15T14:30:00+00:00,-0.8,3.6906,1.036906
83,2026-01-20T14:45:00+00:00,2.0,5.7645,1.057645
84,2026-01-20T22:30:00+00:00,2.0,7.8797,1.078797
85,2026-01-21T14:00:00+00:00,-0.8,7.0167,1.070167
86,2026-01-22T17:45:00+00:00,-0.2,6.8027,1.068027
87,2026-01-25T23:00:00+00:00,2.0,8.9387,1.089387
88,2026-01-27T16:00:00+00:00,-0.8,8.0672,1.080672
89,2026-01-28T14:45:00+00:00,-0.2,7.8511,1.078511
90,2026-01-31T14:15:00+00:00,2.0,10.0081,1.100081
91,2026-02-01T07:30:00+00:00,-0.8,9.128,1.09128
92,2026-02-01T14:45:00+00:00,-0.8,8.255,1.08255
93,2026-02-03T15:15:00+00:00,-0.2,8.0385,1.080385
94,2026-02-03T17:45:00+00:00,2.0,10.1993,1.101993
95,2026-02-03T19:30:00+00:00,-0.8,9.3177,1.093177
96,2026-02-04T15:00:00+00:00,2.0,11.504,1.11504
97,2026-02-04T17:15:00+00:00,2.0,13.7341,1.137341
98,2026-02-04T18:30:00+00:00,-0.9646,12.637,1.12637
99,2026-02-04T22:30:00+00:00,-1.8291,10.5768,1.105768
100,2026-02-07T08:30:00+00:00,-0.8,9.6922,1.096922
101,2026-02-10T13:30:00+00:00,-0.2,9.4728,1.094728
102,2026-02-12T22:45:00+00:00,-0.2,9.2538,1.092538
103,2026-02-14T21:30:00+00:00,-0.8,8.3798,1.083798
104,2026-02-17T13:15:00+00:00,-0.8,7.5128,1.075128
105,2026-02-17T16:00:00+00:00,-0.8,6.6527,1.066527
106,2026-02-21T16:15:00+00:00,-0.8,5.7995,1.057995
107,2026-02-23T01:00:00+00:00,2.0,7.9154,1.079154
108,2026-02-23T17:45:00+00:00,2.0,10.0738,1.100738
109,2026-02-23T22:00:00+00:00,-0.2,9.8536,1.098536
110,2026-02-24T04:15:00+00:00,2.0,12.0507,1.120507
111,2026-02-24T14:30:00+00:00,-0.8,11.1543,1.111543
112,2026-02-25T21:30:00+00:00,-0.2,10.932,1.10932
113,2026-02-28T06:30:00+00:00,2.0,13.1506,1.131506
114,2026-02-28T11:00:00+00:00,-0.2,12.9243,1.129243
115,2026-03-01T03:15:00+00:00,-0.8,12.0209,1.120209
116,2026-03-04T07:45:00+00:00,1.0,13.1411,1.131411
117,2026-03-04T08:45:00+00:00,1.0,14.2725,1.142725
118,2026-03-04T10:30:00+00:00,-0.2,14.044,1.14044
119,2026-03-04T12:15:00+00:00,-0.8,13.1316,1.131316
120,2026-03-07T19:15:00+00:00,2.0,15.3943,1.153943
121,2026-03-08T07:00:00+00:00,-0.8,14.4711,1.144711
122,2026-03-08T20:30:00+00:00,-0.8,13.5553,1.135553
123,2026-03-11T15:00:00+00:00,-0.2,13.3282,1.133282
124,2026-03-13T00:15:00+00:00,1.0,14.4615,1.144615
125,2026-03-13T10:15:00+00:00,1.0,15.6061,1.156061
126,2026-03-15T22:30:00+00:00,1.0,16.7622,1.167622
127,2026-03-16T03:30:00+00:00,1.0,17.9298,1.179298
128,2026-03-16T14:15:00+00:00,-0.8,16.9864,1.169864
129,2026-03-17T00:00:00+00:00,1.0,18.1562,1.181562
130,2026-03-18T17:30:00+00:00,-0.2,17.9199,1.179199
131,2026-03-19T12:45:00+00:00,2.0,20.2783,1.202783
132,2026-03-19T14:00:00+00:00,-0.8,19.3161,1.193161
133,2026-03-19T15:00:00+00:00,-0.8,18.3616,1.183616
134,2026-03-22T02:15:00+00:00,-0.8,17.4147,1.174147
135,2026-03-22T15:15:00+00:00,-0.2,17.1798,1.171798
