trade_number,exit_time,trade_return_pct,cumulative_return_pct,equity_multiple
1,2025-09-27T21:45:00+00:00,-0.8,-0.8,0.992
2,2025-09-28T13:45:00+00:00,-0.8,-1.5936,0.984064
3,2025-09-30T22:30:00+00:00,-0.8,-2.3809,0.976191
4,2025-10-01T17:30:00+00:00,-0.2,-2.5761,0.974239
5,2025-10-05T04:45:00+00:00,1.0,-1.6019,0.983981
6,2025-10-05T09:30:00+00:00,-0.8,-2.389,0.97611
7,2025-10-06T13:30:00+00:00,1.0,-1.4129,0.985871
8,2025-10-06T16:00:00+00:00,-0.8,-2.2016,0.977984
9,2025-10-06T21:15:00+00:00,-0.2,-2.3972,0.976028
10,2025-10-09T08:15:00+00:00,2.0,-0.4452,0.995548
11,2025-10-09T15:00:00+00:00,-0.8111,-1.2527,0.987473
12,2025-10-09T16:00:00+00:00,-0.8,-2.0426,0.979574
13,2025-10-11T20:30:00+00:00,2.0,-0.0835,0.999165
14,2025-10-11T22:00:00+00:00,-0.8,-0.8828,0.991172
15,2025-10-13T22:15:00+00:00,-0.2,-1.0811,0.989189
16,2025-10-16T16:30:00+00:00,2.0,0.8973,1.008973
17,2025-10-16T18:30:00+00:00,-0.8,0.0901,1.000901
18,2025-10-17T07:00:00+00:00,2.0,2.092,1.02092
19,2025-10-17T09:00:00+00:00,-0.2,1.8878,1.018878
20,2025-10-22T04:30:00+00:00,-0.8,1.0727,1.010727
21,2025-10-24T13:30:00+00:00,-0.8,0.2641,1.002641
22,2025-10-25T21:15:00+00:00,-0.8,-0.538,0.99462
23,2025-10-28T14:45:00+00:00,-1.4475,-1.9777,0.980223
24,2025-10-29T16:30:00+00:00,-0.2,-2.1738,0.978262
25,2025-11-03T03:00:00+00:00,2.0,-0.2173,0.997827
26,2025-11-03T10:45:00+00:00,2.0,1.7784,1.017784
27,2025-11-03T17:15:00+00:00,-0.2,1.5748,1.015748
28,2025-11-03T21:15:00+00:00,-0.2,1.3717,1.013717
29,2025-11-06T10:30:00+00:00,-0.8,0.5607,1.005607
30,2025-11-06T13:15:00+00:00,-0.8,-0.2438,0.997562
31,2025-11-09T22:30:00+00:00,-0.2,-0.4433,0.995567
32,2025-11-09T23:30:00+00:00,-0.8,-1.2397,0.987603
33,2025-11-12T01:00:00+00:00,-0.8,-2.0298,0.979702
34,2025-11-13T17:45:00+00:00,2.0,-0.0704,0.999296
35,2025-11-14T05:00:00+00:00,-0.8,-0.8699,0.991301
36,2025-11-14T13:00:00+00:00,-0.2,-1.0681,0.989319
37,2025-11-16T14:30:00+00:00,-0.2,-1.266,0.98734
38,2025-11-16T18:15:00+00:00,-1.4111,-2.6592,0.973408
39,2025-11-19T07:00:00+00:00,-0.8,-3.4379,0.965621
40,2025-11-19T14:45:00+00:00,-1.3267,-4.719,0.95281
41,2025-11-22T11:00:00+00:00,-0.2,-4.9096,0.950904
42,2025-11-26T17:45:00+00:00,1.0887,-3.8743,0.961257
43,2025-11-27T03:30:00+00:00,-0.2,-4.0666,0.959334
44,2025-11-28T14:30:00+00:00,-0.2,-4.2585,0.957415
45,2025-12-01T15:30:00+00:00,2.0,-2.3436,0.976564
46,2025-12-03T04:15:00+00:00,1.0,-1.3671,0.986329
47,2025-12-03T06:45:00+00:00,-0.2,-1.5643,0.984357
48,2025-12-03T14:00:00+00:00,-0.8,-2.3518,0.976482
49,2025-12-06T10:15:00+00:00,-0.8,-3.133,0.96867
50,2025-12-07T12:45:00+00:00,-0.8,-3.9079,0.960921
51,2025-12-09T13:30:00+00:00,-0.8,-4.6767,0.953233
52,2025-12-09T15:45:00+00:00,1.6394,-3.1139,0.968861
53,2025-12-10T10:15:00+00:00,-0.8,-3.889,0.96111
54,2025-12-10T17:15:00+00:00,-0.2,-4.0813,0.959187
55,2025-12-14T12:15:00+00:00,-0.2,-4.2731,0.957269
56,2025-12-15T00:00:00+00:00,-0.8,-5.0389,0.949611
57,2025-12-17T07:30:00+00:00,-0.8,-5.7986,0.942014
58,2025-12-17T17:00:00+00:00,-0.8,-6.5522,0.934478
59,2025-12-22T00:00:00+00:00,1.0,-5.6177,0.943823
60,2025-12-22T08:45:00+00:00,-0.8,-6.3728,0.936272
61,2025-12-22T14:30:00+00:00,-0.2,-6.56,0.9344
62,2025-12-24T15:30:00+00:00,-0.8,-7.3076,0.926924
63,2025-12-26T02:00:00+00:00,-0.2,-7.4929,0.925071
64,2025-12-29T02:00:00+00:00,1.0,-6.5679,0.934321
65,2025-12-30T14:00:00+00:00,-0.8,-7.3153,0.926847
66,2025-12-30T15:15:00+00:00,-0.8879,-8.1383,0.918617
67,2026-01-02T09:45:00+00:00,1.0,-7.2197,0.927803
68,2026-01-02T14:15:00+00:00,-0.8,-7.9619,0.920381
69,2026-01-02T16:15:00+00:00,1.0,-7.0415,0.929585
70,2026-01-02T18:45:00+00:00,-0.8,-7.7852,0.922148
71,2026-01-04T02:45:00+00:00,-0.2,-7.9696,0.920304
72,2026-01-06T07:15:00+00:00,-0.8,-8.7059,0.912941
73,2026-01-06T14:00:00+00:00,1.0,-7.7929,0.922071
74,2026-01-06T16:15:00+00:00,-0.8,-8.5306,0.914694
75,2026-01-07T00:45:00+00:00,-0.8,-9.2623,0.907377
76,2026-01-09T13:30:00+00:00,-0.8,-9.9882,0.900118
77,2026-01-09T15:15:00+00:00,-0.8,-10.7083,0.892917
78,2026-01-11T20:00:00+00:00,-0.8,-11.4227,0.885773
79,2026-01-12T07:30:00+00:00,-0.2,-11.5998,0.884002
80,2026-01-14T16:30:00+00:00,1.0,-10.7158,0.892842
81,2026-01-15T11:30:00+00:00,-0.8,-11.4301,0.885699
82,2026-01-15T14:30:00+00:00,-0.8,-12.1386,0.878614
83,2026-01-18T23:00:00+00:00,-0.8,-12.8415,0.871585
84,2026-01-20T00:00:00+00:00,-0.2,-13.0159,0.869841
85,2026-01-22T13:30:00+00:00,-0.2,-13.1898,0.868102
86,2026-01-22T15:45:00+00:00,-0.2,-13.3634,0.866366
