trade_number,exit_time,trade_return_pct,cumulative_return_pct,equity_multiple
1,2025-09-27T09:45:00+00:00,-0.8,-0.8,0.992
2,2025-09-28T13:45:00+00:00,-0.2,-0.9984,0.990016
3,2025-10-01T12:15:00+00:00,1.0,-0.0084,0.999916
4,2025-10-01T17:45:00+00:00,-0.8,-0.8083,0.991917
5,2025-10-01T23:45:00+00:00,-0.2,-1.0067,0.989933
6,2025-10-05T09:30:00+00:00,-0.8,-1.7986,0.982014
7,2025-10-06T04:30:00+00:00,-0.2,-1.995,0.98005
8,2025-10-08T14:00:00+00:00,-0.8637,-2.8415,0.971585
9,2025-10-09T22:30:00+00:00,-0.2,-3.0358,0.969642
10,2025-10-14T00:15:00+00:00,1.0,-2.0662,0.979338
11,2025-10-15T08:45:00+00:00,-0.8,-2.8497,0.971503
12,2025-10-16T05:30:00+00:00,-0.8,-3.6269,0.963731
13,2025-10-20T08:15:00+00:00,-0.8,-4.3979,0.956021
14,2025-10-21T17:30:00+00:00,-0.2,-4.5891,0.954109
15,2025-10-23T18:00:00+00:00,-0.8,-5.3523,0.946477
16,2025-10-24T01:15:00+00:00,-0.2,-5.5416,0.944584
17,2025-10-26T10:30:00+00:00,-0.8,-6.2973,0.937027
18,2025-10-26T20:15:00+00:00,-0.8,-7.0469,0.929531
19,2025-10-28T22:30:00+00:00,-0.8,-7.7906,0.922094
20,2025-10-30T13:30:00+00:00,-0.2,-7.975,0.92025
21,2025-11-01T15:00:00+00:00,-0.8,-8.7112,0.912888
22,2025-11-02T21:00:00+00:00,-0.2,-8.8937,0.911063
23,2025-11-04T21:15:00+00:00,2.0,-7.0716,0.929284
24,2025-11-04T22:15:00+00:00,-1.3576,-8.3332,0.916668
25,2025-11-05T02:00:00+00:00,-3.3837,-11.4349,0.885651
26,2025-11-07T10:00:00+00:00,-0.8,-12.1435,0.878565
27,2025-11-07T11:45:00+00:00,-0.8,-12.8463,0.871537
28,2025-11-10T03:30:00+00:00,-0.2,-13.0206,0.869794
29,2025-11-10T12:00:00+00:00,-0.8,-13.7165,0.862835
30,2025-11-13T03:30:00+00:00,-1.71,-15.1919,0.848081
31,2025-11-13T15:00:00+00:00,-1.8295,-16.7435,0.832565
32,2025-11-16T01:45:00+00:00,2.0,-15.0783,0.849217
33,2025-11-20T06:30:00+00:00,-0.8,-15.7577,0.842423
34,2025-11-21T03:15:00+00:00,-1.3113,-16.8624,0.831376
35,2025-11-25T00:00:00+00:00,-0.8,-17.5275,0.824725
36,2025-11-25T23:45:00+00:00,-0.2,-17.6924,0.823076
37,2025-11-28T15:45:00+00:00,-0.8,-18.3509,0.816491
38,2025-11-28T23:00:00+00:00,-0.8,-19.0041,0.809959
39,2025-12-01T07:45:00+00:00,-0.8,-19.6521,0.803479
40,2025-12-01T12:45:00+00:00,-0.2,-19.8127,0.801873
41,2025-12-03T15:00:00+00:00,-1.7024,-21.1779,0.788221
42,2025-12-03T22:30:00+00:00,-0.9188,-21.9021,0.780979
43,2025-12-06T21:00:00+00:00,-0.8,-22.5269,0.774731
44,2025-12-07T00:30:00+00:00,-0.8,-23.1466,0.768534
45,2025-12-09T08:15:00+00:00,-0.8,-23.7615,0.762385
46,2025-12-09T15:00:00+00:00,-0.8,-24.3714,0.756286
