trade_number,exit_time,trade_return_pct,cumulative_return_pct,equity_multiple
1,2025-09-27T18:30:00+00:00,-0.8,-0.8,0.992
2,2025-09-28T08:15:00+00:00,-0.8,-1.5936,0.984064
3,2025-10-01T04:30:00+00:00,-0.8,-2.3809,0.976191
4,2025-10-01T14:30:00+00:00,1.0,-1.4047,0.985953
5,2025-10-02T00:30:00+00:00,-0.8,-2.1934,0.978066
6,2025-10-02T11:45:00+00:00,-0.2,-2.389,0.97611
7,2025-10-07T14:00:00+00:00,-0.2,-2.5843,0.974157
8,2025-10-08T04:30:00+00:00,-0.8,-3.3636,0.966364
9,2025-10-10T20:45:00+00:00,-0.2,-3.5569,0.964431
10,2025-10-10T22:00:00+00:00,-1.8659,-5.3564,0.946436
11,2025-10-14T13:30:00+00:00,-0.2,-5.5457,0.944543
12,2025-10-15T14:00:00+00:00,-0.8,-6.3013,0.936987
13,2025-10-22T07:30:00+00:00,-0.8,-7.0509,0.929491
14,2025-10-22T14:45:00+00:00,-0.8,-7.7945,0.922055
15,2025-10-25T00:45:00+00:00,1.0,-6.8724,0.931276
16,2025-10-25T04:15:00+00:00,1.0,-5.9412,0.940588
17,2025-10-25T06:30:00+00:00,-0.8,-6.6936,0.933064
18,2025-10-25T13:45:00+00:00,1.0,-5.7606,0.942394
19,2025-10-25T15:45:00+00:00,-0.8,-6.5145,0.934855
20,2025-10-26T02:00:00+00:00,-0.8,-7.2624,0.927376
21,2025-10-28T13:30:00+00:00,-0.8,-8.0043,0.919957
22,2025-10-30T00:00:00+00:00,-0.2,-8.1883,0.918117
23,2025-11-01T16:00:00+00:00,-0.8,-8.9228,0.910772
24,2025-11-03T06:00:00+00:00,2.0,-7.1012,0.928988
25,2025-11-03T07:30:00+00:00,-0.8,-7.8444,0.921556
26,2025-11-03T16:30:00+00:00,-0.8,-8.5816,0.914184
27,2025-11-07T00:00:00+00:00,-0.8,-9.313,0.90687
28,2025-11-07T14:30:00+00:00,-0.2,-9.4944,0.905056
29,2025-11-09T22:30:00+00:00,-0.8,-10.2184,0.897816
30,2025-11-10T00:15:00+00:00,1.0,-9.3206,0.906794
31,2025-11-10T09:45:00+00:00,1.0,-8.4138,0.915862
32,2025-11-10T21:00:00+00:00,-0.8,-9.1465,0.908535
33,2025-11-12T07:45:00+00:00,-0.2,-9.3282,0.906718
34,2025-11-14T12:45:00+00:00,-0.2,-9.5095,0.904905
35,2025-11-15T00:00:00+00:00,-0.8,-10.2335,0.897665
36,2025-11-17T20:45:00+00:00,-0.8,-10.9516,0.890484
37,2025-11-18T03:30:00+00:00,-0.8,-11.664,0.88336
38,2025-11-20T14:30:00+00:00,-1.8988,-13.3413,0.866587
39,2025-11-21T03:00:00+00:00,-0.2,-13.5146,0.864854
40,2025-11-24T18:30:00+00:00,1.0,-12.6498,0.873502
41,2025-11-28T11:00:00+00:00,-0.8,-13.3486,0.866514
42,2025-11-28T14:45:00+00:00,-1.2055,-14.3932,0.856068
43,2025-11-30T23:45:00+00:00,-0.2,-14.5644,0.854356
44,2025-12-01T06:45:00+00:00,-0.8,-15.2479,0.847521
45,2025-12-03T08:15:00+00:00,-0.8,-15.9259,0.840741
46,2025-12-04T04:45:00+00:00,-0.8,-16.5985,0.834015
47,2025-12-06T12:00:00+00:00,-0.8,-17.2657,0.827343
48,2025-12-06T21:00:00+00:00,-0.8,-17.9276,0.820724
49,2025-12-09T11:45:00+00:00,-0.8,-18.5841,0.814159
50,2025-12-09T19:00:00+00:00,-0.8,-19.2355,0.807645
51,2025-12-12T18:00:00+00:00,-0.8,-19.8816,0.801184
52,2025-12-14T01:15:00+00:00,-0.8,-20.5225,0.794775
53,2025-12-16T05:30:00+00:00,-0.8,-21.1583,0.788417
54,2025-12-17T11:00:00+00:00,-0.8,-21.7891,0.782109
55,2025-12-20T11:00:00+00:00,-0.8,-22.4148,0.775852
56,2025-12-21T02:15:00+00:00,-0.8,-23.0354,0.769646
57,2025-12-23T10:15:00+00:00,-0.2,-23.1894,0.768106
58,2025-12-23T14:45:00+00:00,-0.2,-23.343,0.76657
59,2025-12-26T02:15:00+00:00,-0.2,-23.4963,0.765037
60,2025-12-26T17:30:00+00:00,-0.8,-24.1083,0.758917
61,2025-12-29T05:45:00+00:00,-0.8,-24.7155,0.752845
62,2026-01-01T05:15:00+00:00,-0.8,-25.3177,0.746823
63,2026-01-04T00:45:00+00:00,1.0,-24.5709,0.754291
64,2026-01-04T03:45:00+00:00,1.0,-23.8166,0.761834
65,2026-01-04T08:00:00+00:00,-0.2,-23.969,0.76031
66,2026-01-05T01:00:00+00:00,1.0,-23.2087,0.767913
67,2026-01-05T04:15:00+00:00,-0.8,-23.823,0.76177
68,2026-01-05T09:00:00+00:00,-0.8,-24.4324,0.755676
69,2026-01-08T14:45:00+00:00,-0.8,-25.037,0.74963
70,2026-01-09T13:30:00+00:00,-0.8,-25.6367,0.743633
71,2026-01-12T01:00:00+00:00,-0.2,-25.7854,0.742146
72,2026-01-12T14:30:00+00:00,-0.2,-25.9338,0.740662
73,2026-01-14T15:45:00+00:00,-1.1182,-26.762,0.73238
74,2026-01-15T15:45:00+00:00,-0.2,-26.9085,0.730915
75,2026-01-18T18:30:00+00:00,-0.2,-27.0547,0.729453
76,2026-01-19T08:15:00+00:00,-0.8,-27.6383,0.723617
77,2026-01-22T16:45:00+00:00,-0.8,-28.2172,0.717828
78,2026-01-23T15:15:00+00:00,-0.2,-28.3607,0.716393
79,2026-01-25T16:15:00+00:00,2.0,-26.9279,0.730721
80,2026-01-26T00:00:00+00:00,-0.2,-27.0741,0.729259
81,2026-01-28T12:15:00+00:00,-0.8,-27.6575,0.723425
82,2026-01-30T18:45:00+00:00,-1.5765,-28.798,0.71202
83,2026-01-31T08:30:00+00:00,2.0,-27.3739,0.726261
84,2026-01-31T16:45:00+00:00,2.0,-25.9214,0.740786
85,2026-01-31T19:00:00+00:00,-0.8,-26.514,0.73486
86,2026-02-01T14:45:00+00:00,-0.8,-27.1019,0.728981
87,2026-02-03T15:15:00+00:00,-0.8,-27.6851,0.723149
88,2026-02-03T19:00:00+00:00,-0.2,-27.8297,0.721703
89,2026-02-05T21:00:00+00:00,-0.2,-27.9741,0.720259
90,2026-02-06T00:30:00+00:00,-0.9418,-28.6524,0.713476
91,2026-02-09T11:30:00+00:00,-0.8063,-29.2277,0.707723
92,2026-02-10T13:30:00+00:00,-0.8,-29.7939,0.702061
93,2026-02-12T16:45:00+00:00,-0.8727,-30.4066,0.695934
94,2026-02-12T22:15:00+00:00,-0.8,-30.9633,0.690367
95,2026-02-15T00:15:00+00:00,-0.2,-31.1014,0.688986
96,2026-02-15T03:30:00+00:00,-0.8,-31.6526,0.683474
97,2026-02-17T14:30:00+00:00,-0.2,-31.7893,0.682107
98,2026-02-17T15:30:00+00:00,-0.8,-32.335,0.67665
99,2026-02-20T14:30:00+00:00,-0.2,-32.4703,0.675297
100,2026-02-21T15:30:00+00:00,-0.2,-32.6053,0.673947
101,2026-02-23T17:45:00+00:00,-0.2,-32.7401,0.672599
102,2026-02-24T01:30:00+00:00,-1.0327,-33.4347,0.665653
103,2026-02-27T16:00:00+00:00,2.0,-32.1034,0.678966
104,2026-02-28T06:15:00+00:00,-0.2,-32.2392,0.677608
105,2026-02-28T07:30:00+00:00,-0.2,-32.3747,0.676253
106,2026-03-02T08:45:00+00:00,-0.8,-32.9157,0.670843
107,2026-03-02T14:30:00+00:00,-0.8,-33.4524,0.665476
108,2026-03-04T15:15:00+00:00,1.0,-32.7869,0.672131
109,2026-03-05T11:30:00+00:00,-0.8,-33.3246,0.666754
110,2026-03-06T14:30:00+00:00,2.0,-31.9911,0.680089
111,2026-03-07T14:30:00+00:00,-0.8,-32.5352,0.674648
112,2026-03-07T17:15:00+00:00,-0.8,-33.0749,0.669251
113,2026-03-10T08:30:00+00:00,-0.2,-33.2088,0.667912
114,2026-03-10T11:00:00+00:00,-0.8,-33.7431,0.662569
115,2026-03-13T02:30:00+00:00,-0.8,-34.2732,0.657268
116,2026-03-13T06:15:00+00:00,-0.8,-34.799,0.65201
117,2026-03-15T16:15:00+00:00,-0.8,-35.3206,0.646794
118,2026-03-15T22:30:00+00:00,1.0,-34.6738,0.653262
119,2026-03-16T01:00:00+00:00,-0.2,-34.8044,0.651956
120,2026-03-16T14:30:00+00:00,-0.8,-35.326,0.64674
121,2026-03-18T17:30:00+00:00,-0.8,-35.8434,0.641566
122,2026-03-19T13:45:00+00:00,-0.8,-36.3566,0.636434
123,2026-03-22T21:00:00+00:00,2.0,-35.0838,0.649162
124,2026-03-22T22:30:00+00:00,-0.9472,-35.6987,0.643013
125,2026-03-23T08:00:00+00:00,-0.8,-36.2131,0.637869
